date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:05	1154/1154	---M-Z	200	added ('OK')	text/html	etag:%22482-66b7890d-7a35d16368d3fcc5;gz%22	https://jsobola.atari8.info/8BIT/index.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/index.html	(from )
10:22:06	3931/3931	---M-Z	404	error ('Not%20Found')	text/html	etag:%222882-65eac9fe-c442476531ec5b99;gz%22	https://jsobola.atari8.info/robots.txt		(from )
10:22:06	1610/1610	---M-Z	200	added ('OK')	text/html	etag:%2264a-66b7890f-a42432ea72d25676;gz%22	https://jsobola.atari8.info/8BIT/left.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/left.html	(from https://jsobola.atari8.info/8BIT/index.htm)
10:22:06	2211/2211	---M-Z	200	added ('OK')	text/html	etag:%228a3-66b78917-e357c2b8d77ddeb2;gz%22	https://jsobola.atari8.info/8BIT/start8bit.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/start8bit.html	(from https://jsobola.atari8.info/8BIT/index.htm)
10:22:07	477/477	---M-Z	200	added ('OK')	text/html	etag:%221dd-66b7890a-eddcfd52557d02fb;gz%22	https://jsobola.atari8.info/8BIT/dolny.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/dolny.html	(from https://jsobola.atari8.info/8BIT/index.htm)
10:22:07	1128/1128	---M--	200	added ('OK')	image/gif	etag:%22468-66b789e2-b5954cc17d407288;;;%22	https://jsobola.atari8.info/8BIT/images/fadeside.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/fadeside.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:07	2340/2340	---M--	200	added ('OK')	image/gif	etag:%22924-66b78a16-fd3d268a60077f3d;;;%22	https://jsobola.atari8.info/8BIT/images/keys/start.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/start.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:07	4140/4140	---M-Z	200	added ('OK')	text/html	etag:%22102c-66b78910-5a8489ede2714549;gz%22	https://jsobola.atari8.info/8BIT/muzeum8bit.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/muzeum8bit.html	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:07	2411/2411	---M--	200	added ('OK')	image/gif	etag:%2296b-66b78a28-a1432c0935fa36d8;;;%22	https://jsobola.atari8.info/8BIT/images/keys/muzeum.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/muzeum.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:08	24603/24603	---M-Z	200	added ('OK')	text/html	etag:%22601b-66b78914-9954c48a32e16015;gz%22	https://jsobola.atari8.info/8BIT/serw8bit.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/serw8bit.html	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:08	2394/2394	---M--	200	added ('OK')	image/gif	etag:%2295a-66b78a15-ad02c2c131eca01a;;;%22	https://jsobola.atari8.info/8BIT/images/keys/serwis.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/serwis.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:08	9320/9320	---M-Z	200	added ('OK')	text/html	etag:%222468-66b78913-a3dd727ecdedd85e;gz%22	https://jsobola.atari8.info/8BIT/schem8bit.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/schem8bit.html	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:08	2431/2431	---M--	200	added ('OK')	image/gif	etag:%2297f-66b78a15-7053301cdfe6511c;;;%22	https://jsobola.atari8.info/8BIT/images/keys/schematy.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/schematy.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:09	1644/1644	---M--	200	added ('OK')	image/gif	etag:%2266c-66b789e9-ed4793d6465a0ac3;;;%22	https://jsobola.atari8.info/8BIT/images/jerbann.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/jerbann.gif	(from https://jsobola.atari8.info/8BIT/left.htm)
10:22:09	963/963	---M--	200	added ('OK')	image/gif	etag:%223c3-66b789e1-d323ffeb32b8fd9;;;%22	https://jsobola.atari8.info/8BIT/images/fades4.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/fades4.gif	(from https://jsobola.atari8.info/8BIT/start8bit.htm)
10:22:09	1774/1774	---M--	200	added ('OK')	image/gif	etag:%226ee-66b789ef-97943da5c63f8740;;;%22	https://jsobola.atari8.info/8BIT/images/osiem.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/osiem.gif	(from https://jsobola.atari8.info/8BIT/start8bit.htm)
10:22:09	301/301	---M--	200	added ('OK')	image/gif	etag:%2212d-66b789e9-23200d331fb08c8d;;;%22	https://jsobola.atari8.info/8BIT/images/jerbann1.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/jerbann1.gif	(from https://jsobola.atari8.info/8BIT/start8bit.htm)
10:22:10	2206/2206	---M--	200	added ('OK')	image/gif	etag:%2289e-66b789d1-c55fc05fd89da125;;;%22	https://jsobola.atari8.info/8BIT/images/Apple%20II%20Hardware1.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/Apple%20II%20Hardware1.gif	(from https://jsobola.atari8.info/8BIT/start8bit.htm)
10:22:10	21954/21954	---M--	200	added ('OK')	image/jpeg	etag:%2255c2-66b789cf-eb28b48e3d7c19c4;;;%22	https://jsobola.atari8.info/8BIT/images/800xl_1.jpg	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/800xl_1.jpg	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:10	668/668	---M-Z	200	added ('OK')	text/html	etag:%2229c-66b78911-3a819b969de3d48c;gz%22	https://jsobola.atari8.info/8BIT/omnie.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/omnie.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:10	10370/10370	---M-Z	404	error ('Not%20Found')	text/html	etag:%222882-65eac9fe-c442476531ec5b99;gz%22	https://jsobola.atari8.info/8BIT/black	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/black	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:11	1521/1521	---M-Z	200	added ('OK')	text/html	etag:%225f1-66b78ac4-1b3946046489413f;gz%22	https://jsobola.atari8.info/8BIT/acorn.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/acorn.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:11	1272/1272	---M--	200	added ('OK')	image/gif	etag:%224f8-66b78a0f-9a257d9e27de56f7;;;%22	https://jsobola.atari8.info/8BIT/images/keys/acorn.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/acorn.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:11	2233/2233	---M-Z	200	added ('OK')	text/html	etag:%228b9-66b78907-2f2bc0724db78ec8;gz%22	https://jsobola.atari8.info/8BIT/amstrad.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/amstrad.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:11	1365/1365	---M--	200	added ('OK')	image/gif	etag:%22555-66b78a10-ecb00e655b3f9d25;;;%22	https://jsobola.atari8.info/8BIT/images/keys/amstrad.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/amstrad.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:11	4012/4012	---M-Z	200	added ('OK')	text/html	etag:%22fac-66b78908-8a203b0320526a2c;gz%22	https://jsobola.atari8.info/8BIT/apple.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/apple.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:12	1229/1229	---M--	200	added ('OK')	image/gif	etag:%224cd-66b78a10-69b0d73e479123ce;;;%22	https://jsobola.atari8.info/8BIT/images/keys/apple.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/apple.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:12	608/608	---M-Z	200	added ('OK')	text/html	etag:%22260-66b78908-54c47ea4ff1a5f52;gz%22	https://jsobola.atari8.info/8BIT/ataraki.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/ataraki.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:12	1237/1237	---M--	200	added ('OK')	image/gif	etag:%224d5-66b78a11-1071d266f75a80a2;;;%22	https://jsobola.atari8.info/8BIT/images/keys/atari.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/atari.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:12	10370/10370	---M-Z	404	error ('Not%20Found')	text/html	etag:%222882-65eac9fe-c442476531ec5b99;gz%22	https://jsobola.atari8.info/8BIT/Casio.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/Casio.htm	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:13	1237/1237	---M--	200	added ('OK')	image/gif	etag:%224d5-66b78a11-9be675057dac0033;;;%22	https://jsobola.atari8.info/8BIT/images/keys/casio.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/casio.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:13	12634/12634	---M-Z	200	added ('OK')	text/html	etag:%22315a-66b78909-85bf42f7e327645;gz%22	https://jsobola.atari8.info/8BIT/comodore.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/comodore.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:13	1459/1459	---M--	200	added ('OK')	image/gif	etag:%225b3-66b78a11-56b99e00991692f;;;%22	https://jsobola.atari8.info/8BIT/images/keys/commodore.gif	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/images/keys/commodore.gif	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
10:22:13	1413/1413	---M-Z	200	added ('OK')	text/html	etag:%22585-66b7890a-53b080539f035a9e;gz%22	https://jsobola.atari8.info/8BIT/elan.htm	F:/temp/temp-httrack/8bitow/jsobola.atari8.info/8BIT/elan.html	(from https://jsobola.atari8.info/8BIT/muzeum8bit.htm)
